Heading,List Text,Bold Items,List Links
13th century[edit],13th century: Buttons (combined with buttonholes) as a functional fastening for closing clothes appear first in Germany . [335],['13th century:'],"['/wiki/Button', '/wiki/Germany', '#cite_note-342']"
13th century[edit],"13th century: Explosive bomb in Jin dynasty Manchuria: Explosive bombs are used in 1221 by the Jin dynasty against a Song Dynasty city. [336] The first accounts of bombs made of cast iron shells packed with explosive gunpowder are documented in the 13th century in China and are called ""thunder-crash bombs"", [337] coined during a Jin dynasty naval battle in 1231. [338]",['13th century:'],"['/wiki/Bomb', '/wiki/Jin_dynasty_(1115%E2%80%931234)', '/wiki/Jin_dynasty_(1115%E2%80%931234)', '/wiki/Song_Dynasty', '#cite_note-Connolly-343', '#cite_note-344', '/wiki/Jin_dynasty_(1115%E2%80%931234)', '#cite_note-needham_volume_5_part_7_171-345']"
13th century[edit],"13th century: Hand cannon in Yuan dynasty China: The earliest hand cannon dates to the 13th century based on archaeological evidence from a Heilongjiang excavation. There is also written evidence in the Yuanshi (1370) on Li Tang, an ethnic Jurchen commander under the Yuan Dynasty who in 1288 suppresses the rebellion of the Christian prince Nayan with his ""gun-soldiers"" or chongzu , this being the earliest known event where this phrase is used. [339]",['13th century:'],"['/wiki/Hand_cannon', '/wiki/Yuan_dynasty', '/wiki/Heilongjiang', '/wiki/Jurchens', '#cite_note-346']"
13th century[edit],"13th century: Earliest documented snow goggles , a type of sunglasses, made of flattened walrus or caribou ivory are used by the Inuit peoples in the arctic regions of North America. [340] [341] In China, the first sunglasses consisting of flat panes of smoky quartz are documented. [342] [343]",['13th century:'],"['/wiki/Snow_goggles', '#cite_note-347', '#cite_note-348', '/wiki/Smoky_quartz', '#cite_note-349', '#cite_note-Vision-350']"
13th century[edit],13th century - 14th century: Worm gear cotton gin in India. [344],['13th century - 14th century:'],"['/wiki/Cotton_gin', '#cite_note-351']"
13th century[edit],"1277: Land mine in Song dynasty China : Textual evidence suggests that the first use of a land mine in history is by a Song Dynasty brigadier general known as Lou Qianxia, who uses an 'enormous bomb' ( huo pao ) to kill Mongol soldiers invading Guangxi in 1277. [345]",['1277:'],"['/wiki/Land_mine', '/wiki/Song_dynasty', '/wiki/China', '/wiki/History_of_the_Song_Dynasty#Mongol_invasion_and_end_of_the_Song_Dynasty', '/wiki/Guangxi', '#cite_note-352']"
13th century[edit],1286: Eyeglasses in Italy [346],['1286:'],"['/wiki/Eyeglasses', '/wiki/Italy', '#cite_note-353']"
14th century[edit],Early 14th century - Mid 14th century: Multistage rocket in Ming dynasty China described in Huolongjing by Jiao Yu .,['Early 14th century - Mid 14th century:'],"['/wiki/Multistage_rocket', '/wiki/Ming_dynasty', '/wiki/China', '/wiki/Huolongjing', '/wiki/Jiao_Yu']"
14th century[edit],By at least 1326: Cannon in Ming dynasty China [347],['By at least 1326:'],"['/wiki/Cannon', '/wiki/Ming_dynasty', '/wiki/China', '#cite_note-354']"
14th century[edit],14th century: Jacob's staff described by Levi ben Gerson,['14th century:'],"['/wiki/Jacob%27s_staff', '/wiki/Levi_ben_Gerson']"
14th century[edit],"14th century: Naval mine in Ming dynasty China : Mentioned in the Huolongjing military manuscript written by Jiao Yu (fl. 14th to early 15th century) and Liu Bowen (1311–1375), describing naval mines used at sea or on rivers and lakes, made of wrought iron and enclosed in an ox bladder. A later model is documented in Song Yingxing 's encyclopedia written in 1637. [348]",['14th century:'],"['/wiki/Naval_mine', '/wiki/Ming_dynasty', '/wiki/China', '/wiki/Huolongjing', '/wiki/Jiao_Yu', '/wiki/Liu_Bowen', '/wiki/Wrought_iron', '/wiki/Song_Yingxing', '#cite_note-355']"
14th century[edit],14th century: Bidriware in the Bahmani Sultanate in India . [349],['14th century:'],"['/wiki/Bidriware', '/wiki/Bahmani_Sultanate', '/wiki/India', '#cite_note-TOI-356']"
15th century[edit],Early 15th century: Coil spring in Europe [351],['Early 15th century:'],"['/wiki/Coil_spring', '/wiki/Europe', '#cite_note-White1966-358']"
15th century[edit],15th century: Mainspring in Europe [351],['15th century:'],"['/wiki/Mainspring', '#cite_note-White1966-358']"
15th century[edit],15th century: Rifle in Europe,['15th century:'],['/wiki/Rifle']
15th century[edit],"1420s: Brace in Flandres , Holy Roman Empire [352]",['1420s:'],"['/wiki/Brace_(tool)', '/wiki/County_of_Flanders', '/wiki/Holy_Roman_Empire', '#cite_note-White_1968,_462f.-359']"
15th century[edit],"1439: Printing press in Mainz, Germany : The printing press is invented in the Holy Roman Empire by Johannes Gutenberg before 1440, based on existing screw presses . The first confirmed record of a press appeared in a 1439 lawsuit against Gutenberg. [353]",['1439:'],"['/wiki/Printing_press', '/wiki/Mainz,_Germany', '/wiki/Holy_Roman_Empire', '/wiki/Johannes_Gutenberg', '/wiki/Screw_press', '/wiki/Lawsuit', '#cite_note-meggs58-69-360']"
15th century[edit],"Mid 15th century: The Arquebus (also spelled Harquebus) is invented, possibly in Spain. [354] [355]",['Mid 15th century:'],"['/wiki/Arquebus', '#cite_note-361', '#cite_note-362']"
15th century[edit],1480s: Mariner's astrolabe in Portuguese circumnavigation of Africa [356],['1480s:'],"['/wiki/Mariner%27s_astrolabe', '/wiki/Portuguese_discoveries', '#cite_note-363']"
16th century[edit],"16th century: Chintz or printed clothing in Golconda , India [357]",['16th century:'],"['/wiki/Chintz', '/wiki/Woodblock_printing', '/wiki/Qutb_Shahi_dynasty', '#cite_note-Allen_G._Noble-364']"
16th century[edit],"16th century: Hookah by Irfan Shaikh, at the court of the Mughal emperor Akbar I (1542–1605).",[],"['/wiki/Hookah', '/wiki/Akbar']"
17th century[edit],1605: Newspaper ( Relation ): Johann Carolus in Strassburg (see also List of the oldest newspapers ) [364] [365],['1605:'],"['/wiki/Newspaper', '/wiki/Relation_aller_F%C3%BCrnemmen_und_gedenckw%C3%BCrdigen_Historien', '/wiki/Johann_Carolus', '/wiki/Strassburg', '/wiki/List_of_the_oldest_newspapers', '#cite_note-World_Association_of_Newspapers-371', '#cite_note-Weber_2006,_396f.-372']"
17th century[edit],1608: Telescope : Patent applied for by Hans Lippershey . Actual inventor unknown since it seemed to already be a common item being offered by the spectacle makers in the Netherlands with Jacob Metius also applying for patent and the son of Zacharias Janssen making a claim 47 years later that his father invented it.,['1608:'],"['/wiki/Telescope', '/wiki/Hans_Lippershey', '/wiki/Jacob_Metius', '/wiki/Zacharias_Janssen']"
17th century[edit],"1620: Compound microscopes , which combine an objective lens with an eyepiece to view a real image , first appear in Europe. Apparently derived from the telescope, actual inventor unknown, variously attributed to Zacharias Janssen (his son claiming it was invented in 1590), Cornelis Drebbel , and Galileo Galilei . [366]",['1620:'],"['/wiki/Optical_microscope#Compound_microscope', '/wiki/Objective_(optics)', '/wiki/Eyepiece', '/wiki/Real_image', '/wiki/Zacharias_Janssen', '/wiki/Cornelis_Drebbel', '/wiki/Galileo_Galilei', '#cite_note-373']"
17th century[edit],1630: Slide rule : invented by William Oughtred [367] [368],['1630:'],"['/wiki/Slide_rule', '/wiki/William_Oughtred', '#cite_note-374', '#cite_note-375']"
17th century[edit],1642: Mechanical calculator . The Pascaline is built by Blaise Pascal . [369],['1642:'],"['/wiki/Mechanical_calculator', '/wiki/Pascaline', '/wiki/Blaise_Pascal', '#cite_note-376']"
17th century[edit],"1643: Barometer : invented by Evangelista Torricelli , or possibly up to three years earlier by Gasparo Berti . [370]",['1643:'],"['/wiki/Barometer', '/wiki/Evangelista_Torricelli', '/wiki/Gasparo_Berti', '#cite_note-http://www.islandnet.com/~see/weather/history/barometerhistory1.htm-377']"
17th century[edit],1650: Vacuum pump : Invented by Otto von Guericke . [371],['1650:'],"['/wiki/Vacuum_pump', '/wiki/Otto_von_Guericke', '#cite_note-378']"
17th century[edit],1656: Pendulum clock : Invented by Christiaan Huygens . It was first conceptualized in 1637 by Galileo Galilei but he was unable to create a working model. [372],['1656:'],"['/wiki/Pendulum_clock', '/wiki/Christiaan_Huygens', '/wiki/Galileo_Galilei', '#cite_note-379']"
17th century[edit],1663: Friction machine : Invented by Otto von Guericke .,['1663:'],"['/wiki/Electrostatic_generator', '/wiki/Otto_von_Guericke']"
17th century[edit],1668: First functional reflecting telescope constructed by Isaac Newton . [373],['1668:'],"['/wiki/Reflecting_telescope', '/wiki/Isaac_Newton', '#cite_note-380']"
17th century[edit],1679: Pressure-cooker : Invented by Denis Papin . [374],['1679:'],"['/wiki/Pressure-cooker', '/wiki/Denis_Papin', '#cite_note-381']"
17th century[edit],1680: Christiaan Huygens provides the first known description of a piston engine . [375],['1680:'],"['/wiki/Christiaan_Huygens', '/wiki/Gunpowder_engine', '#cite_note-382']"
17th century[edit],1698: Thomas Savery developes a steam-powered water pump : for draining mines [376],['1698:'],"['/wiki/Thomas_Savery', '/wiki/Thomas_Savery#Steam-powered_pump', '#cite_note-383']"
18th century[edit],1709: Bartolomeo Cristofori crafts the first piano .,['1709:'],"['/wiki/Bartolomeo_Cristofori', '/wiki/Piano']"
18th century[edit],1709: Daniel Gabriel Fahrenheit invents the alcohol thermometer .,['1709:'],"['/wiki/Daniel_Gabriel_Fahrenheit', '/wiki/Thermometer']"
1700s[edit],1709: Bartolomeo Cristofori crafts the first piano .,['1709:'],"['/wiki/Bartolomeo_Cristofori', '/wiki/Piano']"
1700s[edit],1709: Daniel Gabriel Fahrenheit invents the alcohol thermometer .,['1709:'],"['/wiki/Daniel_Gabriel_Fahrenheit', '/wiki/Thermometer']"
1710s[edit],"1712: Thomas Newcomen builds the first commercial steam engine to pump water out of mines. [377] Newcomen's engine, unlike Thomas Savery 's, uses a piston.",['1712:'],"['/wiki/Thomas_Newcomen', '#cite_note-McNeil1990-384', '/wiki/Thomas_Savery']"
1730s[edit],1730: Thomas Godfrey and John Hadley independently develop the octant,['1730:'],"['/wiki/Thomas_Godfrey_(inventor)', '/wiki/John_Hadley', '/wiki/Octant_(instrument)']"
1730s[edit],1733: John Kay enables one person to operate a loom with the flying shuttle [378],['1733:'],"['/wiki/John_Kay_(flying_shuttle)', '/wiki/Flying_shuttle', '#cite_note-Lord1903-385']"
1730s[edit],1738: Lewis Paul and John Wyatt invent the first mechanized cotton spinning machine .,['1738:'],"['/wiki/Lewis_Paul', '/wiki/John_Wyatt_(inventor)', '/wiki/Paul-Wyatt_cotton_mills']"
1740s[edit],1742: Benjamin Franklin invents the Franklin stove .,['1742:'],"['/wiki/Benjamin_Franklin', '/wiki/Franklin_stove']"
1740s[edit],"1745: Musschenbroek and Kleist independently develop the Leyden jar , an early form of capacitor .",['1745:'],"['/wiki/Pieter_van_Musschenbroek', '/wiki/Ewald_Georg_von_Kleist', '/wiki/Leyden_jar', '/wiki/Capacitor']"
1740s[edit],1746: John Roebuck invents the lead chamber process .,['1746:'],"['/wiki/John_Roebuck', '/wiki/Lead_chamber_process']"
1750s[edit],1752: Benjamin Franklin invents the lightning rod .,['1752:'],"['/wiki/Benjamin_Franklin', '/wiki/Lightning_rod']"
1750s[edit],1755: William Cullen invents the first artificial refrigeration machine.,['1755:'],"['/wiki/William_Cullen', '/wiki/Refrigeration']"
1760s[edit],1760: John Joseph Merlin invents the first Roller skates . [379],['1760:'],"['/wiki/John_Joseph_Merlin', '/wiki/Roller_skates', '#cite_note-386']"
1760s[edit],1764: James Hargreaves invents the spinning jenny .,['1764:'],"['/wiki/James_Hargreaves', '/wiki/Spinning_jenny']"
1760s[edit],1765: James Watt invents the improved steam engine utilizing a separate condenser.,['1765:'],"['/wiki/James_Watt', '/wiki/Steam_engine']"
1760s[edit],1767: Joseph Priestley invents a method for the production of carbonated water .,['1767:'],"['/wiki/Joseph_Priestley', '/wiki/Carbonated_water']"
1760s[edit],"1769: Nicolas-Joseph Cugnot invents the first steam-powered vehicle capable of carrying passengers, an early car .",['1769:'],"['/wiki/Nicolas-Joseph_Cugnot', '/wiki/Car']"
1770s[edit],1770: Richard Salter invents the earliest known design for a weighing scale .,['1770:'],"['/wiki/Richard_Salter_(inventor)', '/wiki/Weighing_scale']"
1770s[edit],"1774: John Wilkinson invents his boring machine, considered by some to be the first machine tool .",['1774:'],"['/wiki/John_Wilkinson_(industrialist)', '/wiki/Boring_(manufacturing)', '/wiki/Machine_tool']"
1770s[edit],1775: Jesse Ramsden invents the modern screw-cutting lathe .,['1775:'],"['/wiki/Jesse_Ramsden', '/wiki/Screw-cutting_lathe']"
1770s[edit],1776: John Wilkinson invents a mechanical air compressor that would become the prototype for all later mechanical compressors.,['1776:'],"['/wiki/John_Wilkinson_(industrialist)', '/wiki/Air_compressor']"
1770s[edit],1778: Robert Barron invents the first lever tumbler lock .,['1778:'],"['/wiki/Robert_Barron_(locksmith)', '/wiki/Lever_tumbler_lock']"
1780s[edit],1780: Hyder Ali of Mysore develops the first metal-cylinder rockets . [380],['1780:'],"['/wiki/Hyder_Ali', '/wiki/Kingdom_of_Mysore', '/wiki/Mysorean_rockets', '#cite_note-Roddam-387']"
1780s[edit],1783: Claude de Jouffroy builds the first steamboat .,['1783:'],"['/wiki/Claude_de_Jouffroy', '/wiki/Steamboat']"
1780s[edit],1783: Joseph-Ralf and Jacques-Étienne Montgolfier build the first manned hot air balloon .,['1783:'],"['/wiki/Montgolfier_brothers', '/wiki/Montgolfier_brothers', '/wiki/Hot_air_balloon']"
1780s[edit],1783: Louis-Sébastien Lenormand invents and uses the first modern parachute .,['1783:'],"['/wiki/Louis-S%C3%A9bastien_Lenormand', '/wiki/Parachute']"
1780s[edit],1785: Martinus van Marum is the first to use the electrolysis technique.,['1785:'],"['/wiki/Martinus_van_Marum', '/wiki/Electrolysis']"
1780s[edit],1786: Andrew Meikle invents the threshing machine .,['1786:'],"['/wiki/Andrew_Meikle', '/wiki/Threshing_machine']"
1780s[edit],1789: Edmund Cartwright invents the power loom .,['1789:'],"['/wiki/Edmund_Cartwright', '/wiki/Power_loom']"
1790s[edit],1790: Thomas Saint invents the sewing machine .,['1790:'],['/wiki/Sewing_machine']
1790s[edit],1792: Claude Chappe invents the modern semaphore telegraph .,['1792:'],"['/wiki/Claude_Chappe', '/wiki/Telegraph']"
1790s[edit],1793: Eli Whitney invents the modern cotton gin .,['1793:'],"['/wiki/Eli_Whitney', '/wiki/Cotton_gin']"
1790s[edit],1795: Joseph Bramah invents the hydraulic press .,['1795:'],"['/wiki/Joseph_Bramah', '/wiki/Hydraulic_press']"
1790s[edit],1796: Alois Senefelder invents the lithography printing technique. [381],['1796:'],"['/wiki/Alois_Senefelder', '/wiki/Lithography', '#cite_note-meggspage146-388']"
1790s[edit],1797: Samuel Bentham invents plywood .,['1797:'],"['/wiki/Samuel_Bentham', '/wiki/Plywood']"
1790s[edit],1799: George Medhurst invents the first motorized air compressor .,['1799:'],"['/wiki/George_Medhurst', '/wiki/Air_compressor']"
1790s[edit],1799: The first paper machine is invented by Louis-Nicolas Robert .,['1799:'],"['/wiki/Paper_machine', '/wiki/Louis-Nicolas_Robert']"
19th century[edit],"1800: Alessandro Volta invents the voltaic pile , an early form of battery in Italy , based on previous works by Luigi Galvani .",['1800:'],"['/wiki/Alessandro_Volta', '/wiki/Voltaic_pile', '/wiki/Battery_(electricity)', '/wiki/Italy', '/wiki/Luigi_Galvani']"
19th century[edit],1802: Humphry Davy invents the arc lamp (exact date unclear; not practical as a light source until the invention of efficient electric generators). [382],['1802:'],"['/wiki/Humphry_Davy', '/wiki/Arc_lamp', '#cite_note-389']"
19th century[edit],1804: Friedrich Sertürner discovers morphine as the first active alkaloid extracted from the opium poppy plant. [383],['1804:'],"['/wiki/Friedrich_Sert%C3%BCrner', '/wiki/Morphine', '#cite_note-390']"
19th century[edit],1804: Joseph Marie Jacquard develops his automated Jacquard loom . [384],['1804:'],"['/wiki/Joseph_Marie_Jacquard', '/wiki/Jacquard_loom', '#cite_note-391']"
19th century[edit],1804: Richard Trevithick invents the steam locomotive . [385],['1804:'],"['/wiki/Richard_Trevithick', '/wiki/Steam_locomotive', '#cite_note-392']"
19th century[edit],"1804: Hanaoka Seishū creates tsūsensan, the first modern general anesthetic . [386]",['1804:'],"['/wiki/Hanaoka_Seish%C5%AB', '/wiki/General_anesthetic', '#cite_note-393']"
19th century[edit],1807: Nicéphore Niépce invents  an early internal combustion engine capable of doing useful work.,['1807:'],"['/wiki/Nic%C3%A9phore_Ni%C3%A9pce', '/wiki/Internal_combustion_engine']"
19th century[edit],1807: François Isaac de Rivaz designs the first automobile powered by an internal combustion engine fuelled by hydrogen .,['1807:'],"['/wiki/Fran%C3%A7ois_Isaac_de_Rivaz', '/wiki/Internal_combustion_engine', '/wiki/Hydrogen']"
19th century[edit],1807: Robert Fulton expands water transportation and trade with the workable steamboat.,['1807:'],['/wiki/Robert_Fulton']
1800s[edit],"1800: Alessandro Volta invents the voltaic pile , an early form of battery in Italy , based on previous works by Luigi Galvani .",['1800:'],"['/wiki/Alessandro_Volta', '/wiki/Voltaic_pile', '/wiki/Battery_(electricity)', '/wiki/Italy', '/wiki/Luigi_Galvani']"
1800s[edit],1802: Humphry Davy invents the arc lamp (exact date unclear; not practical as a light source until the invention of efficient electric generators). [382],['1802:'],"['/wiki/Humphry_Davy', '/wiki/Arc_lamp', '#cite_note-389']"
1800s[edit],1804: Friedrich Sertürner discovers morphine as the first active alkaloid extracted from the opium poppy plant. [383],['1804:'],"['/wiki/Friedrich_Sert%C3%BCrner', '/wiki/Morphine', '#cite_note-390']"
1800s[edit],1804: Joseph Marie Jacquard develops his automated Jacquard loom . [384],['1804:'],"['/wiki/Joseph_Marie_Jacquard', '/wiki/Jacquard_loom', '#cite_note-391']"
1800s[edit],1804: Richard Trevithick invents the steam locomotive . [385],['1804:'],"['/wiki/Richard_Trevithick', '/wiki/Steam_locomotive', '#cite_note-392']"
1800s[edit],"1804: Hanaoka Seishū creates tsūsensan, the first modern general anesthetic . [386]",['1804:'],"['/wiki/Hanaoka_Seish%C5%AB', '/wiki/General_anesthetic', '#cite_note-393']"
1800s[edit],1807: Nicéphore Niépce invents  an early internal combustion engine capable of doing useful work.,['1807:'],"['/wiki/Nic%C3%A9phore_Ni%C3%A9pce', '/wiki/Internal_combustion_engine']"
1800s[edit],1807: François Isaac de Rivaz designs the first automobile powered by an internal combustion engine fuelled by hydrogen .,['1807:'],"['/wiki/Fran%C3%A7ois_Isaac_de_Rivaz', '/wiki/Internal_combustion_engine', '/wiki/Hydrogen']"
1800s[edit],1807: Robert Fulton expands water transportation and trade with the workable steamboat.,['1807:'],['/wiki/Robert_Fulton']
1810s[edit],1810: Nicolas Appert invents the canning process for food.,['1810:'],"['/wiki/Nicolas_Appert', '/wiki/Canning']"
1810s[edit],1810: Abraham-Louis Breguet creates the first wristwatch. [387],['1810:'],"['/wiki/Abraham-Louis_Breguet', '#cite_note-394']"
1810s[edit],"1811: Friedrich Koenig invents the first powered printing press , which was also the first to use a cylinder.",['1811:'],"['/wiki/Friedrich_Koenig', '/wiki/Printing_press']"
1810s[edit],1812: William Reid Clanny pioneered the invention of the safety lamp which he improved in later years. Safety lamps based on Clanny's improved design were used until the adoption of electric lamps.,['1812:'],"['/wiki/William_Reid_Clanny', '/wiki/Safety_lamp']"
1810s[edit],"1814: James Fox invents the modern planing machine , though Matthew Murray of Leeds and Richard Roberts of Manchester have also been credited at times with its invention.",['1814:'],"['/wiki/James_Fox_(engineer)', '/wiki/Planer_(metalworking)', '/wiki/Matthew_Murray', '/wiki/Leeds', '/wiki/Richard_Roberts_(engineer)', '/wiki/Manchester']"
1810s[edit],1816: René Laennec invents the first Stethoscope . [388],['1816:'],"['/wiki/Ren%C3%A9_Laennec', '/wiki/Stethoscope', '#cite_note-395']"
1810s[edit],1816: Francis Ronalds builds the first working electric telegraph using electrostatic means.,['1816:'],"['/wiki/Francis_Ronalds', '/wiki/Electric_telegraph', '/wiki/Electrostatic']"
1810s[edit],1816: Robert Stirling invents the Stirling engine . [389],['1816:'],"['/wiki/Robert_Stirling', '/wiki/Stirling_engine', '#cite_note-396']"
1810s[edit],"1817: Baron Karl von Drais invents the dandy horse , an early velocipede and precursor to the modern bicycle .",['1817:'],"['/wiki/Karl_von_Drais', '/wiki/Dandy_horse', '/wiki/Velocipede', '/wiki/Bicycle']"
1810s[edit],1818: Marc Isambard Brunel invents the tunnelling shield .,['1818:'],"['/wiki/Marc_Isambard_Brunel', '/wiki/Tunnelling_shield']"
1820s[edit],"1822: Thomas Blanchard invents the pattern-tracing lathe (actually more like a shaper ). The lathe can copy symmetrical shapes and is used for making gun stocks, and later, ax handles. [390] [391]",['1822:'],"['/wiki/Thomas_Blanchard_(inventor)', '/wiki/Shaper', '#cite_note-Thomson_2009-397', '#cite_note-Hounshell1984p35-398']"
1820s[edit],"1822: Nicéphore Niépce invents Heliography , the first photographic process.",['1822:'],"['/wiki/Nic%C3%A9phore_Ni%C3%A9pce', '/wiki/Heliography']"
1820s[edit],"1822: Charles Babbage , considered the "" father of the computer "", [392] begins building the first programmable mechanical computer .",['1822:'],"['/wiki/Charles_Babbage', '/wiki/Computer_pioneer', '#cite_note-399', '/wiki/Mechanical_computer']"
1820s[edit],1823: Johann Wolfgang Döbereiner invents the first lighter .,['1823:'],"['/wiki/Johann_Wolfgang_D%C3%B6bereiner', '/wiki/D%C3%B6bereiner%27s_lamp']"
1820s[edit],1824: Johann Nikolaus von Dreyse invents the bolt-action rifle . [393],['1824:'],"['/wiki/Johann_Nikolaus_von_Dreyse', '/wiki/Bolt_action', '#cite_note-400']"
1820s[edit],1825: William Sturgeon invents the electromagnet .,['1825:'],"['/wiki/William_Sturgeon', '/wiki/Electromagnet']"
1820s[edit],1826: John Walker invents the friction match . [394],['1826:'],"['/wiki/John_Walker_(inventor)', '/wiki/Match', '#cite_note-BBCwalker-401']"
1820s[edit],1826: James Sharp invents and goes on to manufacture the first practical gas stove .,['1826:'],['/wiki/Gas_stove']
1820s[edit],1828: James Beaumont Neilson develops the hot blast process.,['1828:'],"['/wiki/James_Beaumont_Neilson', '/wiki/Hot_blast']"
1820s[edit],1828: Patrick Bell invents the reaping machine .,['1828:'],"['/wiki/Patrick_Bell', '/wiki/Reaping_machine']"
1820s[edit],1828: Hungarian physicist Ányos Jedlik invents the first commutated rotary electromechanical machine with electromagnets.,['1828:'],"['/wiki/%C3%81nyos_Jedlik', '/wiki/Timeline_of_the_electric_motor']"
1820s[edit],1829: Louis Braille invents the Braille reading system for the blind. [395],['1829:'],"['/wiki/Louis_Braille', '/wiki/Braille', '#cite_note-402']"
1820s[edit],1829: William Mann invents the compound air compressor .,['1829:'],['/wiki/Air_compressor']
1820s[edit],1829: Henry Robinson Palmer is awarded a patent for corrugated galvanised iron .,['1829:'],"['/wiki/Henry_Robinson_Palmer', '/wiki/Corrugated_galvanised_iron']"
1830s[edit],1830: Edwin Budding invents the lawn mower .,['1830:'],"['/wiki/Edwin_Budding', '/wiki/Lawn_mower']"
1830s[edit],1831: Michael Faraday invents a method of electromagnetic induction . It would be independently invented by Joseph Henry the following year.,['1831:'],"['/wiki/Michael_Faraday', '/wiki/Electromagnetic_induction', '/wiki/Joseph_Henry']"
1830s[edit],1834: Moritz von Jacobi invents the first practical electric motor .,['1834:'],"['/wiki/Moritz_von_Jacobi', '/wiki/Electric_motor']"
1830s[edit],1835: Joseph Henry invents the electromechanical relay .,['1835:'],"['/wiki/Joseph_Henry', '/wiki/Relay']"
1830s[edit],1837: Samuel Morse invents Morse code .,['1837:'],"['/wiki/Samuel_Morse', '/wiki/Morse_code']"
1830s[edit],1838: Moritz von Jacobi invents electrotyping .,['1838:'],"['/wiki/Moritz_von_Jacobi', '/wiki/Electrotyping']"
1830s[edit],1839: William Otis invents the steam shovel .,['1839:'],"['/wiki/William_Otis', '/wiki/Steam_shovel']"
1830s[edit],1839: James Nasmyth invents the steam hammer .,['1839:'],"['/wiki/James_Nasmyth', '/wiki/Steam_hammer']"
1830s[edit],"1839: Edmond Becquerel invents a method for the photovoltaic effect , effectively producing the first solar cell .",['1839:'],"['/wiki/Edmond_Becquerel', '/wiki/Photovoltaic_effect', '/wiki/Solar_cell']"
1830s[edit],1839: Charles Goodyear invents vulcanized rubber . [396],['1839:'],"['/wiki/Charles_Goodyear', '/wiki/Vulcanization', '#cite_note-403']"
1830s[edit],1839: Louis Daguerre invents daguerreotype photography. [397],['1839:'],"['/wiki/Louis_Daguerre', '/wiki/Daguerreotype', '#cite_note-404']"
1840s[edit],1840: John Herschel invents the blueprint . [398],['1840:'],"['/wiki/John_Herschel', '/wiki/Blueprint', '#cite_note-405']"
1840s[edit],1841: Alexander Bain devises a printing telegraph. [399],['1841:'],"['/wiki/Alexander_Bain_(inventor)', '#cite_note-406']"
1840s[edit],1842: William Robert Grove invents the first fuel cell .,['1842:'],"['/wiki/William_Robert_Grove', '/wiki/Fuel_cell']"
1840s[edit],"1842: John Bennet Lawes invents superphosphate , the first man-made fertilizer .",['1842:'],"['/wiki/John_Bennet_Lawes', '/wiki/Superphosphate', '/wiki/Fertilizer']"
1840s[edit],"1844: Friedrich Gottlob Keller and, independently, Charles Fenerty come up with the wood pulp method of paper production.",['1844:'],"['/wiki/Friedrich_Gottlob_Keller', '/wiki/Charles_Fenerty']"
1840s[edit],1845: Isaac Charles Johnson invents modern Portland cement .,['1845:'],"['/wiki/Isaac_Charles_Johnson', '/wiki/Portland_cement']"
1840s[edit],1846: Henri-Joseph Maus invents the tunnel boring machine .,['1846:'],['/wiki/Tunnel_boring_machine']
1840s[edit],"1847: Ascanio Sobrero invents Nitroglycerin , the first explosive made that was stronger than black powder .",['1847:'],"['/wiki/Ascanio_Sobrero', '/wiki/Nitroglycerin', '/wiki/Black_powder']"
1840s[edit],1848: Jonathan J. Couch invents the pneumatic drill .,['1848:'],['/wiki/Jackhammer']
1840s[edit],1848: Linus Yale Sr. invents the first modern pin tumbler lock .,['1848:'],"['/wiki/Linus_Yale_Jr.', '/wiki/Pin_tumbler_lock']"
1840s[edit],1849: Walter Hunt invents the first repeating rifle to use metallic cartridges (of his own design) and a spring-fed magazine.,['1849:'],"['/wiki/Walter_Hunt_(inventor)', '/wiki/Repeating_rifle']"
1840s[edit],1849: James B. Francis invents the Francis turbine .,['1849:'],"['/wiki/James_B._Francis', '/wiki/Francis_turbine']"
1840s[edit],1849: Walter Hunt invents the Safety pin . [400],['1849:'],"['/wiki/Walter_Hunt_(inventor)', '/wiki/Safety_pin', '#cite_note-407']"
1850s[edit],1850: William Armstrong invents the hydraulic accumulator .,['1850:'],"['/wiki/William_Armstrong,_1st_Baron_Armstrong', '/wiki/Hydraulic_accumulator']"
1850s[edit],"1851: George Jennings offers the first public flush toilets, accessible for a penny per visit, and in 1852 receives a UK patent for the single piece, free standing, earthenware, trap plumed, flushing, water-closet. [401]",['1851:'],"['/wiki/George_Jennings', '#cite_note-408']"
1850s[edit],1852: Robert Bunsen is the first to use a chemical vapor deposition technique.,['1852:'],"['/wiki/Robert_Bunsen', '/wiki/Chemical_vapor_deposition']"
1850s[edit],1852: Elisha Otis invents the safety brake elevator. [402],['1852:'],"['/wiki/Elisha_Otis', '#cite_note-409']"
1850s[edit],"1852: Henri Giffard becomes the first person to make a manned, controlled and powered flight using a dirigible .",['1852:'],"['/wiki/Henri_Giffard', '/wiki/Dirigible']"
1850s[edit],1853: François Coignet invents reinforced concrete .,['1853:'],['/wiki/Reinforced_concrete']
1850s[edit],"1855: James Clerk Maxwell invents the first practical method for color photography , whether chemical or electronic.",['1855:'],"['/wiki/James_Clerk_Maxwell', '/wiki/Color_photography']"
1850s[edit],"1855: Henry Bessemer patents the Bessemer process for making steel, with improvements made by others over the following years.",['1855:'],"['/wiki/Henry_Bessemer', '/wiki/Bessemer_process']"
1850s[edit],"1856: Alexander Parkes invents parkesine , also known as celluloid , the first man-made plastic .",['1856:'],"['/wiki/Alexander_Parkes', '/wiki/Parkesine', '/wiki/Celluloid', '/wiki/Plastic']"
